Tag Value,Owner Reputation,Owner User ID,Owner User Type,Owner Display Name,Is Answered,View Count,Answer Count,Score,Question ID,Last Activity Date,Gold Badges,Silver Badges,Bronze Badges
"typescript, typescript-generics, typescript-class",4449,199924,registered,aghull,False,15,1,1,78075780,1709149489,1,3,4
"docker, kubernetes, kubernetes-metrics",2463,1482402,registered,Brivvirs,True,1520,2,3,68497673,1709149474,2,5,16
"python, pip, zsh",51,14242790,registered,Michael Tan,True,3736,1,2,72127673,1709149473,0,1,5
"sql, duplicates",35171,279776,registered,Alex,True,3702047,34,2437,2594829,1709149465,4,9,18
"kubernetes, kubernetes-service, kubernetes-nodeport",1,13965603,registered,SwatiKa,False,14,0,0,78076721,1709149456,0,0,1
"json, azure, azure-rm-template, azure-automation",1,10952044,registered,Tyler,False,2,0,0,78077187,1709149456,0,0,1
"ios, swift, xcode, cocoapods",12903,3027111,registered,Aviram Netanel,False,10,1,-1,78077070,1709149454,3,10,27
"c, algorithm, graph, dijkstra",39,16337560,registered,O Z,True,90,1,-1,77653076,1709149453,0,0,5
"python, rabbitmq, celery, amqp",949,628524,registered,James Ford,True,10538,4,7,17486397,1709149451,1,2,11
"oracle, oracle21c",13,15565123,registered,Clinton Hadrian,False,8,0,0,78077152,1709149449,0,0,3
"bash, sh",1896,11065874,registered,Amin Ba,False,5,0,0,78077185,1709149438,1,4,16
"analytics, mixpanel",5250,1009698,registered,strangeQuirks,False,2,0,0,78077184,1709149430,2,3,14
"github, ssl, repository, visual-studio-2022, fatal-error",1,15606484,registered,Zachary Rosmanitz,False,31,0,0,77965151,1709149425,0,0,1
"python, docker, dockerfile, computer-vision, cuda",11,9237045,registered,Asmoc.Shark,False,7,0,-1,78076815,1709149424,0,0,4
"azure, azure-devops, azure-functions, azure-pipelines",149,8197898,registered,Sahil Kandroo,True,3885,2,2,61674156,1709149408,1,1,11
"reactjs, axios, abortcontroller",75,20736476,registered,lkalliance,False,13,1,0,78077048,1709149401,0,0,7
mongodb,687,180507,registered,EatATaco,False,5,0,0,78077181,1709149390,0,2,18
sql-server,75,13905313,registered,Gorkov Aleksey,False,4,0,0,78077178,1709149354,0,0,2
"iis, active-directory, windows-authentication",1115,2523327,registered,Kieran Quinn,True,11629,3,2,57856209,1709149342,1,6,19
"wordpress, rest, wordpress-rest-api",153,6175037,registered,Tommizzy,False,4,0,0,78077176,1709149334,0,1,9
"python, pip, anaconda",1951,6458245,registered,JobHunter69,False,23,0,0,78069994,1709149331,2,6,19
"javascript, string, node.js, stream, inputstream",32968,471136,registered,pathikrit,True,240269,14,272,12755997,1709149330,6,13,28
"linux, docker, npm, alpine-linux",23,18650784,registered,dro,False,18,1,0,78077039,1709149320,0,0,3
"javascript, chart.js",2909,2612542,registered,shashisp,True,93673,8,67,21014123,1709149312,2,4,15
"excel, vba",3,23475786,registered,vbaguru,False,25,1,0,78076803,1709149305,0,0,2
"excel, vba, data-cleaning, keyword",1,21321414,registered,cswift404,False,8,0,0,78077168,1709149301,0,0,2
"python-3.x, python-packaging",815,13339621,registered,matleg,False,6,0,0,78076401,1709149288,2,4,13
"javascript, reactjs",1,23498638,registered,Sayan Ghosh,False,10,0,0,78077169,1709149281,0,0,1
"rest, restful-authentication, postman",585,2034245,registered,Victor Viola,True,62062,16,17,36187109,1709149275,1,2,13
"android, android-recyclerview",31,7205581,registered,Sachin Latiyan,True,1972,1,2,48960927,1709149262,0,0,3
javascript,1867,1011117,registered,jre247,True,106244,5,154,12571650,1709149257,2,4,11
"python, pandas, dataframe, yfinance, future-warning",13,16330943,registered,Michael P,False,14,1,0,78077101,1709149243,0,0,4
"html, angular, typescript, setinterval, angular17",1,23498034,registered,blueberrybun,False,19,0,0,78076462,1709149226,0,0,1
"git, winmerge",2704,3554391,registered,MHebes,True,19155,4,14,62825020,1709149210,1,5,20
"ruby-on-rails, rspec, factory-bot",1436,6904782,registered,Nijeesh Joshy,True,376,1,2,61224199,1709149208,0,7,17
"mysql, asp.net, sql-server, stored-procedures, model-view-controller",939,3652303,registered,aiden87,True,16076,2,0,45141042,1709149204,1,4,15
"go, reflection",4208,8593689,registered,Shane Bishop,False,16,1,0,78076992,1709149189,4,10,25
"cmake, llvm, clang",4883,222454,registered,Rezzie,True,365999,12,341,7031126,1709149188,3,4,12
"gstreamer, rtmp, azure-media-services",1565,3511987,registered,Matin Lotfaliee,False,39,0,1,78063076,1709149184,1,5,21
"java, docker, testcontainers, open-liberty, microprofile",344,14923466,registered,Alex_Pap,False,12,1,0,78076596,1709149165,1,2,13
raku,2173,7270649,registered,jubilatious1,True,112,1,-1,77975192,1709149149,0,5,17
r,13,23491438,registered,whoo,True,74,1,1,78068494,1709149145,0,0,3
"swiftui, location, wifi, ssid",2453,836850,registered,joan,False,12,0,0,78077115,1709149133,3,8,18
"c++, bit, masking",1,23498480,registered,jksilva,False,33,0,-2,78077086,1709149116,0,0,1
"fortran, dynamic-arrays, fortran-iso-c-binding, fortran2003",81,2178877,registered,Francium,True,459,1,2,38349435,1709149107,0,0,7
"android, react-native, android-studio, gradlew, gradle-wrapper",13,18127789,registered,Tejpreet Singh,False,8,1,0,78076677,1709149107,0,0,3
"asp.net, vb.net, devexpress",862,1539292,registered,Carlos Mendieta,False,6,0,0,78077158,1709149102,0,3,12
"python, algorithm, combinations",41,23481067,registered,Aslan Gayzov,True,109,1,3,78071328,1709149096,0,0,4
python,9,23495830,registered,Erfan,False,19,0,0,78073604,1709149092,0,0,2
"node.js, heroku, github, npm",9203,2244411,registered,Dibish,True,19714,3,2,27942118,1709149087,2,8,17
"javascript, d3.js, d3-force-directed",517,18091372,registered,Eric G,False,3,0,0,78077163,1709149086,0,2,12
"python, machine-learning",1,17946431,registered,Emin,False,21,1,-3,78074844,1709149081,0,0,1
"react-native, expo, react-native-paper",1,22088835,registered,Lucas,False,21,0,0,77931302,1709149080,0,0,1
"android-studio, navigation",571,4326168,registered,Steve,True,514,2,2,44292941,1709149053,0,3,10
"docker, psql",165,7468713,registered,catch22,False,10,0,0,78076998,1709149047,0,1,9
"redirect, next.js",827,1087234,registered,DragonSlayer,False,7,1,0,78076942,1709149046,1,2,10
"javascript, php, webpack",1,13269281,registered,Thyronia,False,32,0,0,78074332,1709149046,0,0,1
"string, google-sheets, replace",11,15506455,registered,Artur,False,28,2,0,78076024,1709149045,0,0,3
"sql, aggregation, olap-cube",16,19229764,registered,freebench,False,10,0,0,78077138,1709149040,0,0,3
"angular, firefox, rxjs, angular-route-guards",1,8382316,registered,Iv&#225;n Mera,False,6,0,0,78077145,1709149031,0,0,2
"graphql, apollo-server, graphql-js",792,3236993,registered,HDB,True,21,2,0,77952664,1709149026,1,2,11
"verilog, system-verilog",1,22460357,registered,Shuazo,False,23,0,0,78076474,1709149025,0,0,1
"javascript, function",21,8884693,registered,IbnBallo,False,1218,1,0,68282338,1709149012,0,0,3
"ruby, selenium-webdriver, cucumber, capybara, site-prism",237,5631763,registered,SaeeK,True,3700,4,0,35069872,1709149012,1,2,9
"python, selenium-webdriver, web-scraping, chromium, webdrivermanager-python",1,23491841,registered,DataNath,False,32,0,0,78069085,1709148989,0,0,2
"graphql, apollo-server, graphql-js",792,3236993,registered,HDB,True,21,2,0,77952664,1709149026,1,2,11
"verilog, system-verilog",1,22460357,registered,Shuazo,False,23,0,0,78076474,1709149025,0,0,1
"javascript, function",21,8884693,registered,IbnBallo,False,1218,1,0,68282338,1709149012,0,0,3
"ruby, selenium-webdriver, cucumber, capybara, site-prism",237,5631763,registered,SaeeK,True,3700,4,0,35069872,1709149012,1,2,9
"python, selenium-webdriver, web-scraping, chromium, webdrivermanager-python",1,23491841,registered,DataNath,False,32,0,0,78069085,1709148989,0,0,2
"git, git-fork",472,4062901,registered,rickrizzo,True,2409,2,7,57595973,1709148983,0,3,12
"c#, expression-trees, system.reflection",14418,111794,registered,Zev Spitz,True,362,1,-1,54024989,1709148969,3,21,35
"excel, csv",17,7317851,registered,J. White,False,6,0,0,78077155,1709148953,0,0,2
"node.js, unit-testing, supertest",7,23339074,registered,festlest,False,6,0,-2,78077154,1709148950,0,0,2
"sqlite, subquery, limit",75,3084726,registered,Norman of Anstruther,False,16,1,0,78076168,1709148944,0,0,7
"r, ggplot2, plotly, bar-chart, color-palette",440,14194481,registered,Miko,True,29,1,0,78072129,1709148933,0,3,12
"sql, amazon-athena, presto, trino",21,23493016,registered,MAY,False,19,1,2,78076681,1709148929,0,0,1
"airflow, google-cloud-composer",26983,192801,registered,FrustratedWithFormsDesigner,False,45,1,0,78050057,1709148921,6,19,35
"dictionary, gis, qgis",11,22102237,registered,Lucyyy,False,3,0,0,78077151,1709148915,0,0,1
"python, sqlite, fastapi",306,23079699,registered,Donko,False,15,0,1,78077099,1709148892,0,1,8
"r, lubridate, data-wrangling",436,7665848,registered,Sam,True,16,2,0,78077093,1709148869,0,3,16
"blazor, azure-ad-b2c, .net-8.0",119,2051642,registered,Todd,False,5,0,0,78077147,1709148837,0,0,10
"c++, parallel-processing, mpi, deadlock",77,21595035,registered,Niccol&#242; Tiezzi,False,13,1,0,78076881,1709148833,0,0,6
"linux, shell, grep",31,11002896,registered,nis,True,29,1,1,78066700,1709148822,0,0,6
"reactjs, next.js, react-hooks",13,23487737,registered,ScoobaDiva,False,20,1,0,78076801,1709148815,0,0,2
"javascript, html, css, function, debugging",3,23334704,registered,ThoughtWolf,True,64,2,0,77951539,1709148784,0,0,3
"spring-boot, jms, spring-jms",185,3027786,registered,user3027786,False,40,1,0,78028854,1709148777,0,1,7
"fortran, openmp",1,23498591,registered,Andr&#233; Silva,False,3,0,0,78077143,1709148767,0,0,1
"java, spring-boot, docker, maven",1,5719229,registered,S.N,False,203,1,1,73702774,1709148765,1,4,19
"angular, angular-material, angular-material-table, angular-content-projection",11,23498352,registered,Dusan Jerinic,False,7,0,1,78077141,1709148759,0,0,2
"sql, database, postgresql",1,23498462,registered,Mrcreal,False,18,0,-2,78076957,1709148754,0,0,1
opencart,1,9615044,registered,Ercan Toka,False,3,0,0,78077140,1709148753,0,0,1
"mainframe, zos",153,7196148,registered,Oh Come On,True,1249,3,3,47930518,1709148753,0,0,8
"rust, actix-web, rust-actix",1,19035186,registered,RunDosRun,False,9,0,0,78077103,1709148750,0,0,1
"node.js, docker, mqtt",2907,1878571,registered,nix86,False,16,0,0,78076187,1709148730,1,4,15
"next.js, next-auth",3,22384575,registered,zzhuravleff,False,7,0,0,78077136,1709148724,0,0,3
"c#, asp.net-core, asp.net-core-webapi, minimal-apis, asp.net-minimal-apis",67,23207089,registered,user23207089,False,4,0,0,78077135,1709148722,0,1,6
"java, algorithm",1015,8738231,registered,mostafa3dmax,False,25,0,0,78076980,1709148715,0,3,14
postgresql,7242,946478,registered,sparkle,True,143,2,3,78040865,1709148695,5,9,20
"iscsi, amazon-fsx",3,23498520,registered,nichollri,True,8,1,0,78077078,1709148685,0,0,1
"javascript, jquery, owl-carousel",31,13536596,registered,Ramish Hassan Riaz,False,5,0,0,78077131,1709148681,0,1,6
"assembly, stm32f1",1,22290013,registered,Mark,False,79,0,0,77169476,1709148671,0,0,1
python,99,3476841,registered,ilovedoingwebsites,False,59,3,-1,77942884,1709148670,1,1,9
"html, css",1394,2798181,registered,Erik Auranaune,True,3296,3,1,63863631,1709148659,1,4,16
php,23122,956397,registered,PiTheNumber,True,20989,7,9,9110525,1709148641,4,17,38
"node.js, keycloak",71,16426887,registered,OldLavyGenes474,False,4,0,0,78077128,1709148635,0,0,6
"python, opencv",267,3993069,registered,bantandor,False,1433,3,0,58168919,1709148633,0,1,10
"regex, nginx, redirect",2705,2881939,registered,Sanjay Salunkhe,True,12912,2,4,21577841,1709148631,1,6,17
"python, matplotlib, legend, boxplot",1,23332478,registered,gongmaodu,False,6,0,0,78077117,1709148626,0,0,1
"reactjs, localization",14468,457059,registered,stoefln,True,105,2,0,78028213,1709148624,5,10,24
"tcp, dns, network-programming, ip, ethernet",329,21343992,registered,rare77,False,31,1,0,77784293,1709148613,0,0,7
"databricks, talend",11,22794967,registered,אופיר אוחיון,False,2,0,0,78077122,1709148609,0,0,3
"java, json, jackson",13227,1466267,registered,SpaceTrucker,True,101,2,-1,78034584,1709148608,4,17,31
"ffmpeg, mp4, video-processing",1325,207425,registered,pigfox,False,7,0,-3,78077121,1709148604,1,4,16
"angular, ngx-formly",5404,1095362,registered,robert trudel,False,6,0,0,78077020,1709148591,2,7,15
"javascript, profiling",38562,13370,registered,Julius A,True,1128852,31,1738,313893,1709148579,3,7,19
"kubernetes, google-cloud-platform, rancher",40,17104367,registered,devxpe,True,44,2,0,78016610,1709148575,0,0,7
anylogic,193,22056059,registered,Jahidul Hasan Razib,False,10,2,1,78076189,1709148571,0,0,8
"ruby-on-rails, drop-down-menu, enums",734,4755026,registered,Thomas C,True,12304,4,23,37674187,1709148566,1,3,13
"node.js, async-await, graphql, apollo, apollo-server",811,14449776,registered,Viraj Doshi,False,40,2,1,78018028,1709148545,0,5,17
"python, machine-learning, scikit-learn, nested-loops, cross-validation",27,14316436,registered,vesalius,False,13,0,0,78076229,1709148514,0,0,4
"swiftui, xcode15",111,3973005,registered,Kaplan,False,23,1,0,78076542,1709148509,0,1,9
"c#, nlog",851,10530657,registered,eusataf,False,14,0,0,78077113,1709148488,1,4,12
"python, list, multidimensional-array, jupyter-notebook, pycharm",133,20250014,registered,Chris,True,23,2,0,78076742,1709148478,0,0,6
"java, weld-se",820,4117376,registered,Mike,True,557,1,2,60419290,1709148467,0,3,13
"extjs, content-security-policy",396,2112517,registered,EthraZa,False,8,0,-1,78077090,1709148458,0,3,9
"terraform, gitlab, gitlab-ci, opentofu",478,2017611,registered,Nicolas Dupouy,False,5,0,0,78077112,1709148453,1,5,14
"python, visual-studio-code, pip",1125,512480,registered,Joymaker,True,6373,4,10,77840099,1709148426,1,3,13
"r, pivot, grouping, export-to-csv",445,11584327,registered,denis,False,9,0,0,78077108,1709148423,0,2,8
"next.js, cookies, next.js13",63,6412353,registered,Gabriel Richards,False,11,1,0,78071689,1709148419,0,0,8
"azure, api, authentication, jwt, token",746,1277764,registered,Vidarious,False,3,0,0,78077106,1709148409,1,2,11
"autocad-plugin, autolisp",121,8543948,registered,G Beck,True,29,3,0,77982996,1709148379,0,1,12
"c#, asp.net, url-routing, pdf-reader",23,8970013,registered,Najat Al-Naamani,True,10007,1,1,47668289,1709148345,1,1,4
"linux, shell, visual-studio-code, vscode-devcontainer, devcontainer",63,8188627,registered,Felipe Vegini,False,136,1,1,77022904,1709148337,0,0,10
"c++, floating-point, intel",4636,846550,registered,Sideshow Bob,True,2305,3,8,7419113,1709148310,1,5,24
"java, loops, while-loop",29,13619435,registered,aren pi,True,1088,2,0,63041992,1709148301,0,0,6
"excel, vba, powershell",1633,3250984,registered,bordeltabernacle,True,13641,2,1,26907650,1709148290,1,5,13
"c++, string, stl, stdstring, implode",7966,446188,registered,ezpresso,True,158783,23,129,5689003,1709148284,2,11,22
"c, fortran",591,1991502,registered,DJames,False,20,0,0,78076988,1709148281,0,2,9
".net, mongodb, docker, testcontainers",835,3246527,registered,EdWood,False,40,1,0,78056302,1709148269,1,7,18
"generics, swiftui, swift-keypath",931,1370067,registered,Remco Poelstra,False,9,0,0,78077097,1709148268,0,3,14
"arrays, powershell, batch-file, firmware, bcdedit",27,23414967,registered,Mr.Key7,True,26,1,-1,78076491,1709148266,0,0,5
"python, numpy, sentence-transformers",1221,8272788,registered,MorrisseyJ,False,7,0,0,78077096,1709148258,0,3,8
"swift, datetime, unix-timestamp",111,4123898,registered,Harsha87,True,10315,4,7,29670585,1709148197,1,1,4
"ionic-framework, charts, chart.js",2219,2029836,registered,dancingbush,False,41,0,0,78053747,1709148166,1,4,18
"python, python-3.x, docker, docker-compose",25,19156897,registered,sigma5563,False,6,0,0,78077091,1709148151,0,0,5
"excel, excel-formula",23,23245889,registered,Zaphod Beeblebrox ,True,29,3,0,78075964,1709148142,0,0,6
"javascript, python, google-calendar-api",1,22137525,registered,Carsten,False,494,2,0,76738099,1709148142,0,0,2
"x86-64, intrinsics, avx512",4481,2052436,registered,user2052436,True,84,1,1,77414081,1709148131,1,4,16
"amazon-web-services, aws-lambda, aws-codebuild",817,10839242,registered,Louis Singer,True,127033,13,53,54632009,1709148106,1,6,14
javascript,1,18025823,registered,Madhurjya Doley,False,62,1,-2,78073866,1709148093,0,0,2
"augmented-reality, vuforia",1,22225757,registered,Harsh,False,3,0,0,78077083,1709148075,0,0,2
"generics, swiftui, swift-keypath",931,1370067,registered,Remco Poelstra,False,9,0,0,78077097,1709148268,0,3,14
"arrays, powershell, batch-file, firmware, bcdedit",27,23414967,registered,Mr.Key7,True,26,1,-1,78076491,1709148266,0,0,5
"python, numpy, sentence-transformers",1221,8272788,registered,MorrisseyJ,False,7,0,0,78077096,1709148258,0,3,8
"swift, datetime, unix-timestamp",111,4123898,registered,Harsha87,True,10315,4,7,29670585,1709148197,1,1,4
"ionic-framework, charts, chart.js",2219,2029836,registered,dancingbush,False,41,0,0,78053747,1709148166,1,4,18
"python, python-3.x, docker, docker-compose",25,19156897,registered,sigma5563,False,6,0,0,78077091,1709148151,0,0,5
"excel, excel-formula",23,23245889,registered,Zaphod Beeblebrox ,True,29,3,0,78075964,1709148142,0,0,6
"javascript, python, google-calendar-api",1,22137525,registered,Carsten,False,494,2,0,76738099,1709148142,0,0,2
"x86-64, intrinsics, avx512",4481,2052436,registered,user2052436,True,84,1,1,77414081,1709148131,1,4,16
"amazon-web-services, aws-lambda, aws-codebuild",817,10839242,registered,Louis Singer,True,127033,13,53,54632009,1709148106,1,6,14
javascript,1,18025823,registered,Madhurjya Doley,False,62,1,-2,78073866,1709148093,0,0,2
"augmented-reality, vuforia",1,22225757,registered,Harsh,False,3,0,0,78077083,1709148075,0,0,2
"node.js, express, session, passport.js, node.js-connect",313,591078,registered,Markoff Chaney,True,827,1,3,21646125,1709148059,1,3,6
"java, classloader",436,1357190,registered,Justin,True,18757,2,14,14070215,1709148058,1,2,9
"reactjs, react-hook-form",20696,2146894,registered,Ben,False,2228,2,2,75367878,1709148057,5,11,26
"php, telegram, telegram-bot",66,11204142,registered,A-Mehrabi,False,3121,2,1,58289513,1709148014,0,1,7
"php, linux, ubuntu",13530,2730064,registered,Rohan,False,18,0,0,78077079,1709147980,4,10,27
"linux, docker, ubuntu, apt, apt-get",142,10016610,registered,dadrake,False,11,2,0,78076961,1709147940,0,0,7
"c#, asp.net-core",374,16379601,registered,Marcel Lorenz,True,252,2,1,74001832,1709147930,0,2,12
"c#, .net, abp, abp-framework",428,6337308,registered,Heitor Giacomini,False,20,1,0,78072231,1709147908,0,2,11
"path, visual-studio-2022, embedded-resource, solution-explorer",648,1541269,registered,tzg,False,8,1,0,78068788,1709147906,1,5,16
swift,2510,2878850,registered,Jay Dee,True,66,1,1,78057518,1709147897,1,5,16
"sublimetext3, sublimetext, sublimetext4",3503,1926221,registered,IGRACH,False,66,1,0,78003912,1709147884,2,7,17
"julia, global-variables",21,12711610,registered,Clopen,False,16,1,0,78075402,1709147882,0,0,2
"git, git-submodules",100409,16957,registered,Ivan,True,1012318,14,1119,1777854,1709147863,3,9,19
"java, parallel-processing, java-21, project-loom, structured-concurrency",3290,455417,registered,mdrg,False,61,1,1,78073182,1709147838,2,8,28
"java, maven, m2eclipse, transitive-dependency",142,5446400,registered,J. Doe,True,2763,1,1,71860188,1709147831,0,1,10
"google-sheets, spreadsheet, countif, count-unique",15,19438699,registered,Jeremy McCloud,False,13,1,0,78076985,1709147829,0,0,3
"python, pandas, excel",1092,2079306,registered,john stamos,False,9,0,1,78077069,1709147829,1,2,16
"jinja2, pelican",1254,3449093,registered,Malvinka,True,22,1,2,78068118,1709147825,1,3,14
"r, metadata, seurat",19,22962048,registered,Olivia Vi Vi,False,19,1,0,78072355,1709147825,0,0,2
"r, curl, ovh",43,4523416,registered,Jan Jankowski Janek,False,16,1,0,78074365,1709147817,0,1,8
"reactjs, docker, docker-compose, deployment, vite",65,16995205,registered,bynik,False,20,2,0,78076725,1709147810,0,0,4
"workflow, azure-logic-apps, azure-resource-manager",3,20335338,registered,LetsGrabSomeBooty,False,887,2,0,75993499,1709147803,0,0,2
javascript,1095,3686329,registered,mevr,True,81996,22,30,36833366,1709147779,1,3,13
openscad,332,5056711,registered,Matthias Adriaens,True,36027,8,18,33146741,1709147764,1,4,14
"java, spring, spring-boot, dependency-injection, amazons3client",1,13466895,registered,Michael Oladimeji,False,9,0,-1,78077043,1709147745,0,0,3
"scala, zio, zio-test",71,16320667,registered,Dang Huy Nguyen,False,17,1,0,78072668,1709147738,0,0,5
"google-workspace, google-docs-api",21,769708,registered,Karan Jain,False,8,0,0,78077059,1709147737,0,0,2
excel,1,23498368,registered,Dru Golden,False,20,1,0,78076826,1709147703,0,0,1
"supabase, edge-function",4656,2813152,registered,progNewbie,False,5,0,0,78076943,1709147699,2,7,24
ruby-on-rails,11,8920481,registered,Jeff Wellings,False,23,2,1,78072166,1709147693,0,0,2
"openai-api, llama, llama-index",1,23497713,registered,Seth J Steele,False,12,1,0,78076026,1709147670,0,0,1
"javascript, jexl",2449,7882685,registered,Jakub,False,11,1,1,78076954,1709147662,1,6,18
"javascript, html, ajax",1,23498571,registered,guizapa,False,5,0,0,78077053,1709147652,0,0,1
"excel, vba",157,5969580,registered,Siraj,False,12,0,0,78077050,1709147648,1,1,8
"python, root, gekko, square",31,22715119,registered,Ginie Kim,True,21,1,1,78018989,1709147617,0,0,1
"database, orm, programming-languages, static-analysis",8175,94102,registered,Jeremy Salwen,False,6,0,0,78077047,1709147602,2,9,23
"rest, .net-core, oauth, jwt, asp.net-core-webapi",4494,706983,registered,Jay Imerman,False,46,2,1,78070303,1709147598,3,8,20
"c++, unordered-set",15,21148656,registered,Satoshic,False,129,3,0,78038849,1709147579,0,0,3
"reactjs, navbar, react-bootstrap, react-props",4575,785535,registered,masiboo,True,3799,3,1,60470536,1709147569,2,5,23
"python, openstreetmap, osmnx",61,13484013,registered,Rossy,True,3534,1,6,61639039,1709147505,0,1,2
"javascript, html",3487,406512,registered,vipin katiyar,True,39744,12,14,8847109,1709147498,3,4,14
"solr, requesthandler, cfsearch",11,23492886,registered,Alex Craig,False,13,0,1,78070589,1709147496,0,0,3
"c, multidimensional-array",1,9279121,registered,Netanel Barzilai,False,55,2,-1,78072397,1709147483,0,1,2
"java, spring, asynchronous",307,1205092,registered,witek,False,33,0,-1,78074218,1709147458,0,1,13
"google-bigquery, create-table, union-all",11,19547687,registered,Yasmin Fakhruddin,False,84,2,0,73372079,1709147455,0,0,3
"docker, docker-compose",983,10666216,registered,Jan Berndt,False,11,1,0,78076816,1709147440,1,3,14
mathjax,206,13058461,registered,Zo&#233; De La Jarreti&#232;re,True,468,1,3,60954727,1709147437,0,2,9
"javascript, node.js",1,23498504,registered,DmG,False,8,0,0,78077016,1709147423,0,0,1
"reactjs, solidity, chakra",1,23392011,registered,vonvanzu,False,15,0,0,78069425,1709147406,0,0,3
"ssl-certificate, pki",55,2923804,registered,Srikanth,False,7,1,0,78076688,1709147405,0,1,5
"if-statement, boolean, vhdl",1,23498091,registered,Kazim,False,11,0,0,78076665,1709147397,0,0,2
"python, huggingface-transformers, onnx, onnxruntime, zeroshot-classification",1,23498541,registered,Gopalkrishna Pai,False,6,0,0,78077035,1709147366,0,0,1
"python, opencv, machine-learning, computer-vision, artificial-intelligence",9,21476186,registered,Himanshu Bhoir,False,13,0,-2,78076948,1709147364,0,0,3
"php, reactjs, cors",53,18549873,registered,Hello Friend,True,390,1,-1,72232186,1709147345,0,0,8
"audio, wav, audio-player, wasapi",426,864699,registered,DotNetter,True,884,1,1,38310477,1709147338,1,3,11
"c#, asp.net, ms-office, office-interop",81650,1719752,registered,Milind Anantwar,True,39466,6,14,21988095,1709147327,10,21,38
"laravel-5, vuejs2, vuejs3",1,7453732,registered,k.sridhar reddy,False,13,0,0,78072555,1709147324,0,0,2
"nginx, nuxt.js",633,1872863,registered,Jsenechal,False,6,1,0,78075821,1709147313,0,2,11
"javascript, node.js, compression, zlib, fflate",2201,372086,registered,Lizozom,True,1151,1,0,67339614,1709147312,1,7,19
"visual-studio-code, github-copilot, vscode-keybinding",13754,14487032,registered,Abraham,True,7206,8,27,70428218,1709147292,3,10,26
vim,37,22282822,registered,Ivan Dimitrov,True,21,1,1,78074772,1709147288,0,0,4
"c#, asp.net, model-view-controller, asp.net-identity, identity",1,19566090,registered,And Hajzeri,False,9,0,0,78077029,1709147267,0,0,1
"javascript, angular",61,22893727,registered,suer231232131133,False,20,1,1,78071005,1709147256,0,0,5
raku,47830,926143,registered,7stud,True,67,2,3,78069120,1709147240,6,18,33
"c#, .net-core, dapper",899,2696802,registered,Sean,True,19,1,0,78075068,1709147236,1,2,11
"php, mysql, xampp",37,16024644,registered,Azim Usmanov,False,10335,2,1,67915238,1709147235,1,1,9
"vba, ms-access",53,8474607,registered,Sasha Egania,False,9863,2,1,45722295,1709147235,0,1,5
"php, json, laravel, return, laravel-5.1",1461,5908097,registered,John Does Legacy,False,9642,2,0,36351490,1709147235,1,3,11
"java, jasper-reports, ireport",21,1362513,registered,user1362513,False,8546,1,2,10361368,1709147235,0,1,2
"python, reactjs, backend, fastapi, react-fullstack",33,17632130,registered,JackD27,False,15,2,0,78076956,1709147185,0,0,3
"python, astronomy, polar-coordinates, x-axis, polar-plot",1,23498513,registered,AstroK,False,8,0,0,78077017,1709147181,0,0,1
