Tag Value,Owner Reputation,Owner User ID,Owner User Type,Owner Display Name,Is Answered,View Count,Answer Count,Score,Question ID,Gold Badges,Silver Badges,Bronze Badges
"google-chrome, google-chrome-devtools",5559,3383907,registered,IMTheNachoMan,FALSE,6,0,0,78144391,3,11,21
"bash, shell, ascii",19,16391166,registered,manav141,TRUE,54,2,0,78144043,0,0,3
"typescript, google-chrome-extension, firefox-addon",373,15537469,registered,GuiEpi,FALSE,21,0,0,78143077,0,1,10
"nunit, vstest, vstest.console.exe",99,3500644,registered,eFail,FALSE,8,0,0,78144390,0,0,5
"ubuntu-20.04, ocs",3,23433392,registered,feng zhang,FALSE,13,0,0,78087952,0,0,1
"ruby, rubygems, bundler, rubymine, rbenv",11,5491257,registered,rxlqx22,FALSE,87,4,0,78129921,0,0,2
"jupyter, google-kubernetes-engine, google-cloud-dataproc",13,19558667,registered,Akhil ,FALSE,11,0,0,78117872,0,0,2
"slurm, hpc, cgroups",23,14381454,registered,paul runner,FALSE,13,0,0,78144316,0,0,4
"python-3.x, dll, anaconda, dependencies, zbar",41,14534345,registered,norinhan,TRUE,11790,4,2,64570443,1,1,6
"python, plotly-python, plotly-express",1,23574216,registered,Santiago Estrada,FALSE,20,0,0,78138462,0,0,1
angular,1,23583544,registered,Ranjan Abni,FALSE,20,0,-1,78144379,0,0,1
"c++, windows, winui-3",1,23581287,registered,tegat,FALSE,25,1,0,78143630,0,0,1
"unity-game-engine, 2d, game-development",3,20506297,registered,Sunnit,FALSE,9,0,0,78144385,0,0,3
"comments, npm",12741,68567,registered,Will Shaver,TRUE,231985,24,593,14221579,2,10,26
"r, dataframe, list, function, xlsx",1307,16762740,registered,Simon Harmel,TRUE,35,1,0,78143875,0,2,11
"azure, azure-data-factory, cicd, repo",1,23506420,registered,Xoxo,FALSE,45,1,0,78124925,0,0,1
visual-studio-code,5757,5319580,registered,Coder Absolute,TRUE,81595,9,75,51832770,2,6,19
"ios, flutter, firebase, firebase-cloud-messaging, flutter-bloc",15,22488490,registered,no one,FALSE,29,0,0,78138417,0,0,4
"javascript, vue.js, fabricjs, vuejs3",527,5500423,registered,Angus Simons,TRUE,956,3,4,71035509,1,3,17
"reactjs, node.js",1,23568395,registered,Calebdevelops,FALSE,7,0,0,78144380,0,0,1
"reactjs, next.js, clerk",31,23562959,registered,Dtaplin21,FALSE,17,1,1,78134090,0,0,1
"java, mysql, java-8, timezone",143,1737273,registered,vasu,FALSE,31,0,-1,78142948,0,0,8
visual-studio-code,5757,5319580,registered,Coder Absolute,TRUE,81595,9,75,51832770,2,6,19
"ios, flutter, firebase, firebase-cloud-messaging, flutter-bloc",15,22488490,registered,no one,FALSE,29,0,0,78138417,0,0,4
"javascript, vue.js, fabricjs, vuejs3",527,5500423,registered,Angus Simons,TRUE,956,3,4,71035509,1,3,17
"reactjs, node.js",1,23568395,registered,Calebdevelops,FALSE,7,0,0,78144380,0,0,1
"reactjs, next.js, clerk",31,23562959,registered,Dtaplin21,FALSE,17,1,1,78134090,0,0,1
"java, mysql, java-8, timezone",143,1737273,registered,vasu,FALSE,31,0,-1,78142948,0,0,8
"kubernetes, kubectl, minikube",23,9672939,registered,Idaho,FALSE,29,1,0,78142122,0,0,5
"c++, visual-c++, automation, mfc, winapp",21,22565664,registered,SDR,FALSE,20,0,0,78144374,0,0,7
"ios, swift, iphone, image, swiftui",633,7610014,registered,nirav,FALSE,18,0,0,78144373,0,2,12
spring-webflux,9350,619830,registered,ch4mp,FALSE,7,0,0,78144012,3,10,27
"vue.js, pinia",505,12842397,registered,demiglace,FALSE,21,0,0,78144357,1,3,8
"jenkins, amazon-ec2",113,12684125,registered,UmaiZ,FALSE,10,0,0,78144360,0,1,9
"rust, webassembly, wasm-pack",41,13885310,registered,Ghiffar,FALSE,13,0,-2,78144370,0,1,4
"ruby-on-rails, export-csv, wice-grid",1,2131266,registered,djdon11,FALSE,27,1,0,78136887,0,0,2
"c++, boost, coroutine, asio",3339,1922763,registered,Takatoshi Kondo,FALSE,49,1,2,78127298,0,7,18
"prometheus, promql",664,8769067,registered,Sudhakar MNSR,TRUE,441,2,0,77086473,1,3,16
"android, publish, google-play-console",165,13613979,registered,DarkBulle,FALSE,13,0,0,78144365,0,0,5
"javascript, google-apps-script, google-api, google-drive-api, google-apps",541,3108080,registered,StuWatson,TRUE,11808,4,19,21189936,1,2,11
"python, ffmpeg, discord, discord.py",1,23576928,registered,Skely,FALSE,18,1,0,78140517,0,0,1
aws-lambda,11,9065908,registered,Amit Shokeen,FALSE,8,1,0,78144333,0,0,3
"php, mysql, laravel",19,20828181,registered,SplashyTechs,TRUE,22,1,0,78144318,0,0,4
"python, citrix",179,7222054,registered,Mohamed ElBasyouni,FALSE,14,0,-1,78144308,0,1,10
"html, css",3,23548962,registered,2leizy,FALSE,51,0,0,78136317,0,0,3
"prometheus, grafana",53,10468495,registered,suresh dhakad,TRUE,3606,3,3,71412533,0,1,8
"xcode, github-actions, swift-package-manager",41,16779838,registered,Aishwarya Lakshmi,TRUE,1488,2,4,72381041,0,0,2
"angular, angular14, angular15, angular16, angular17",508,13492734,registered,Asdf1234567,FALSE,21,0,0,78144156,1,3,12
"c++, variables, clang++, symbol-table",899,1905506,registered,Roy,TRUE,72,1,0,78143394,1,2,12
"google-sheets, google-apps-script",242,20071941,registered,Gabriel Passos,FALSE,10,0,0,78144350,0,2,12
"c, windows, cmd, escaping",198,14614996,registered,The A,FALSE,42,1,1,78143359,0,2,10
"javascript, node.js, typescript, lambda, google-cloud-storage",15,14251286,registered,Mr.Yuu,FALSE,9,0,1,78144347,0,0,5
"google-cloud-platform, google-cloud-vertex-ai, gcp-ai-platform-notebook",11,9906489,registered,Fernando Gomez,FALSE,25,0,1,78105094,0,1,2
"angular, vercel",3,22658291,registered,krabochki,FALSE,44,1,0,77592609,0,0,2
"python, jupyter-notebook, graphics, plotly, scatter-plot",1,21667691,registered,guilherme loriato potratz,FALSE,12,1,0,78144301,0,0,1
"docker, nvidia, nvidia-docker, nvidia-smi",141,13016081,registered,Justin Song,TRUE,14325,8,14,72932940,1,1,4
google-calendar-api,21,23451408,registered,Adimala ,FALSE,61,1,2,78030802,0,0,2
"excel, vba",1,7647221,registered,arijitirf,FALSE,17,0,-1,78144337,0,0,2
"qt, button, qml",11,22774226,registered,Mohan S,FALSE,35,1,0,78135585,0,0,3
"r, gis, postgis, polygon, qgis",301,2382563,registered,threeisles,FALSE,164,4,0,77831032,0,2,7
"c#, .net, enums",15817,72858,registered,CodeMonkey1313,TRUE,330436,18,477,757684,3,12,24
"php, stripe-payments",1,11230151,registered,kwb,FALSE,10,0,0,78144335,0,0,2
"testing, karate",894,15435022,registered,mattsmith5,FALSE,11,1,1,78144163,2,7,21
"javascript, drag-and-drop, figure, drop",1,23581090,registered,antarcticcocacola,FALSE,9,0,0,78144332,0,0,2
"swift, swiftui, observedobject",1539,908749,registered,Mev,FALSE,32,1,-1,78144083,0,5,16
"angular, firebase, firebase-hosting",2601,9731658,registered,rahul  Kushwaha,TRUE,12897,12,14,56447027,1,5,17
"typescript, solana, solana-program-library",261,2402462,registered,Erik Johnson,FALSE,9,0,0,78144324,0,3,8
"ubuntu, libraries, authy",51,17010822,registered,Por lolo Per lele,TRUE,12805,3,5,69340703,1,1,2
"vba, module, ms-word, ide",1,23228465,registered,SteveInVegas,FALSE,21,1,0,78143490,0,0,1
"python, python-polars",1229,11001751,registered,Sebastian,FALSE,630,0,2,74278857,0,2,13
"amazon-web-services, terraform",1,22927503,registered,SB8767,FALSE,27,1,0,78141671,0,0,2
"sql, snowflake-cloud-data-platform",25,20889214,registered,Kasra Pourang,FALSE,30,1,0,78144267,0,0,4
"typescript, next.js, storybook",9,22109348,registered,Colm Ukrainec,FALSE,12,0,0,78143878,0,0,3
"android, html5-video",1,22693009,registered,Lana,FALSE,11,0,0,78140047,0,0,1
"python, compression, zip, tarfile",14047,144408,registered,shahjapan,TRUE,199225,11,183,2032403,4,15,30
"jsp, jstl, scriptlet",999,14188899,registered,Stefan,TRUE,8407,1,4,65161386,0,4,8
"firebase, next.js, firebase-authentication, firebase-cloud-messaging, microsoft-edge",25,11171822,registered,Berk ŞENG&#220;L,FALSE,23,1,0,78129445,0,0,5
"google-apps-script, google-drive-api",3,14259706,registered,Lorenlis Hernandez,TRUE,1023,2,0,63845187,0,0,3
"perl, exporter",671,574621,registered,MERM,TRUE,46,2,2,78140377,0,3,15
"html, css, twitter-bootstrap, twitter-bootstrap-3, responsive-design",579,8316953,registered,Vinni,FALSE,9883,1,0,46145766,1,2,11
"python, python-3.x",11,8541659,registered,Kanamarlapudi Pavan Kumar,FALSE,10025,4,0,46114894,1,1,2
"javascript, css, ellipsis",3762,2277631,registered,Ferran Negre,FALSE,21510,9,17,26002974,1,8,16
"authentication, wsdl, axis, eclipse-wtp, wsdl2java",3877,1956207,registered,Hikari,FALSE,10316,2,0,14364456,1,5,16
"grpc, grpc-dotnet, grpc-load-balancing",2596,2323934,registered,Franco Tiveron,FALSE,14,1,0,78138971,0,6,18
"javascript, html, css",121,18301718,registered,Michael Horvilleur,FALSE,24,0,0,78144310,0,1,9
"c#, vector, fft, mathnet-numerics, autocorrelation",16706,159072,registered,user366312,FALSE,18,0,0,78144306,5,9,31
"supabase, supabase-database, supabase-js",524,8140319,registered,Muhammad Haekal,FALSE,10,0,0,78144293,1,3,13
"sharepoint, sharepoint-online, power-automate, powerapps, power-platform",163,8903059,registered,Moshin Khan,FALSE,14,0,0,78144192,1,1,11
"ios, objective-c, iphone, uiview",11049,1158325,registered,Sohaib,TRUE,126231,27,188,13679923,5,12,15
"amazon-web-services, aws-glue",1,23241358,registered,Praman Mulay,FALSE,9,0,0,78144300,0,0,1
"visual-studio, msbuild, visual-studio-2017, incremental-build",300,349929,registered,Fabio Strocco,TRUE,5486,2,7,50026355,0,2,10
"networking, nat",1423,136303,registered,Valerio Schiavoni,TRUE,1618,1,0,3355199,1,4,13
"database, apache-iotdb, iotdb",152,8039836,registered,leonbear,FALSE,5,0,0,78144297,0,0,11
"c#, web-services, wcf, service-discovery, wcf-discovery",1013,369507,registered,Ben2307,TRUE,670,1,0,7163339,1,2,12
"wcf, .net-4.0, service-discovery, wcf-discovery",123,490712,registered,maxxxx,TRUE,405,1,1,4812089,0,1,6
".net, wcf, ws-discovery, wcf-discovery",32208,39590,registered,mafu,TRUE,622,1,2,4143009,5,16,32
veracrypt,1,23583173,registered,Robert Macmillan,FALSE,7,0,0,78144283,0,0,1
"watchos, sirikit, sirishortcuts",11,21169894,registered,takk_0208,FALSE,14,0,0,78138404,0,0,1
"c#, sockets, udp, multicast",6206,142102,registered,Elan,TRUE,10873,4,0,1159962,3,9,15
"python, pandas, numpy, gdal, rasterio",105,12603785,registered,Jabbar,FALSE,22,0,0,78144211,0,0,5
"sockets, udp, multicast",6206,142102,registered,Elan,TRUE,9243,4,9,1204396,3,9,15
"laravel, path, vuejs3, vite",763,118504,registered,TomBaine,FALSE,17,0,0,78144040,1,4,10
"networking, device-discovery",2443,100751,registered,Abdul Khaliq,TRUE,848,1,0,1565509,1,4,17
"powerbi, dax",1,23583233,registered,Cathy,FALSE,11,0,0,78144291,0,0,1
"cortex-m, segger-jlink",5,17968995,registered,user301880,FALSE,70,0,0,77503931,0,0,3
"java, design-patterns",7056,39444,registered,poseid,TRUE,728,6,4,305094,4,9,21
petalinux,33,20811505,registered,RookieRyan,FALSE,12,0,0,78144242,0,0,3
"arm, segger-jlink",5,17968995,registered,user301880,FALSE,74,0,0,77504580,0,0,3
"cortex-m, segger-jlink",5,17968995,registered,user301880,FALSE,70,0,0,77503931,0,0,3
"java, design-patterns",7056,39444,registered,poseid,TRUE,728,6,4,305094,4,9,21
petalinux,33,20811505,registered,RookieRyan,FALSE,12,0,0,78144242,0,0,3
"arm, segger-jlink",5,17968995,registered,user301880,FALSE,74,0,0,77504580,0,0,3
"java, reflection, jar",37655,130964,registered,peter.murray.rust,TRUE,3532,5,1,1062804,4,14,26
"bare-metal, nxp-microcontroller, segger-jlink",1,22963341,registered,Koray,FALSE,25,0,0,77745712,0,0,1
"python, pygame",269,12835459,registered,Connor,FALSE,22,0,-1,78144288,1,2,10
banno-digital-toolkit,105,10402665,registered,Ravindra,FALSE,7,0,0,78144284,0,1,7
"c#, networking, ipv6, device-discovery",136,2200186,registered,need2lease,TRUE,1673,1,0,36508047,1,1,8
"windows, ip-address, device-discovery",7709,112125,registered,pmf,TRUE,241750,5,30,6128598,2,13,21
"java, keycloak, msal",1,22843824,registered,NorrtT,FALSE,18,0,0,78144258,0,0,2
"for-loop, foreach, stata, stata-macros, tabulate",1,21452577,registered,T Kerr,TRUE,15,1,0,78143866,0,0,1
"mysql, where-clause",29,23463058,registered,Don,FALSE,63,0,0,78134661,0,0,3
"azure, azure-keyvault",1,6477143,registered,Ahmad,FALSE,30,0,-1,78144280,0,1,4
"amazon-web-services, amazon-s3, aws-cli",1829,3906727,registered,kaushikdr,TRUE,346464,36,154,39051477,2,3,12
"ruby-on-rails, jwt, devise, devise-jwt",39,20214283,registered,Merouane Amqor,TRUE,27,2,0,78132496,0,0,7
"nestjs, bull, nestjsbull",2490,2918349,registered,Aaron,FALSE,6,0,0,78144277,1,7,15
"asp.net, bookmarks",6587,42019,registered,Ric Tokyo,TRUE,1300,4,1,514557,3,7,22
"angular, shadow-dom",2960,1850272,registered,Optiq,FALSE,21,1,0,78144174,1,5,17
"python, opencv, ocr, easyocr, image-enhancement",1,23579715,registered,user176953,FALSE,31,0,0,78142374,0,0,1
vue.js,31,13405954,registered,Дмитрий Моисеев,FALSE,27,2,0,78144133,0,0,5
"java, spring, benchmarking, apachebench",1,23260008,registered,FrozenHat,FALSE,52,1,0,77834846,0,0,1
"docker, spring-security, jwt, swagger-ui",37,4252903,registered,adroit,FALSE,19,0,-1,78130799,0,0,6
"android, flutter, dart",11,14195210,registered,Joonseo Park,FALSE,32,0,0,78144270,0,0,2
"javascript, function",1,23582653,registered,Tlmoody84,FALSE,29,1,-4,78144240,0,0,1
"wordpress, woocommerce",25,16857101,registered,bricend96,FALSE,20,1,0,78144073,0,0,7
"javascript, mootools, pageload",51,54021,registered,user54021,TRUE,1569,4,5,434188,0,0,3
"asp.net, connectivity",1645,56302,unregistered,danifo,TRUE,387,1,0,454204,2,4,6
"c#, .net, winui-3, windows-app-sdk",23,16129674,registered,MatS2510,FALSE,23,1,0,78143520,0,1,6
"python, python-3.x, salt-stack, configuration-management",75,4494021,registered,Dwayne Smith,TRUE,23,1,1,78143246,0,1,8
"node.js, postgresql, docker",17,13414328,registered,wade07,FALSE,53,1,0,78131610,0,0,4
"python, visual-studio-code, virtualenv, pylance",17637,2409793,registered,pkaramol,TRUE,40,2,0,78140362,3,13,24
"pandas, excel",11,23583089,registered,github_yodaum,FALSE,16,0,1,78144263,0,0,1
"python, django, django-rest-framework, ipdb",16233,1035279,registered,Paul Whipp,FALSE,16,1,0,78143403,2,8,21
"c++, visual-c++, mfc, visual-studio-2019",1,23583129,registered,NewbeeControler,FALSE,33,0,-3,78144255,0,0,1
apache-camel,11,7844348,registered,Ashish,FALSE,56,1,1,78140618,0,0,2
"oop, encapsulation",43440,361,registered,stimms,TRUE,2477,7,13,586087,6,13,26
"pytorch, huggingface-transformers, large-language-model, llama, peft",843,7584160,registered,Syed Mohammad Fahim Abrar,FALSE,89,1,1,78008119,1,3,16
"react-tsx, zoom-sdk",11,23347521,registered,Godwin Owonam,FALSE,18,1,1,78040130,0,0,1
"python, selenium-webdriver, brave",3,15523094,registered,pythonnoonlol,TRUE,26,1,0,78142286,0,0,2
"python, pytorch, huggingface, stable-diffusion, diffusers",1776,14425501,registered,Adarsh Wase,FALSE,11,0,0,78139065,3,10,21
"python, opencv, pyautogui",1,18590836,registered,penguinpowerss,FALSE,20,1,0,78143950,0,0,3
"php, object, properties",67628,376947,registered,Alex,TRUE,105608,5,97,8707235,4,10,28
"python, machine-learning, pytorch, stable-diffusion, fine-tuning",71,13181599,registered,Mahammad Yusifov,FALSE,17,0,0,78143186,0,0,7
"javascript, forms, material-ui, textfield, darkmode",1,10180260,registered,Ben S,FALSE,15,0,0,78141701,0,1,1
"php, algorithm, string",771,620312,unregistered,ahe,TRUE,26056,10,74,6297991,1,4,5
"javascript, google-sheets, google-apps-script, google-sheets-api",242,20071941,registered,Gabriel Passos,TRUE,42,1,1,78137130,0,2,12
"c++, visual-studio-code, gdb, mingw",11,13657909,registered,Ayon Sen,FALSE,8186,2,1,62130770,0,1,2
swift,23,15261409,registered,papillon,FALSE,27,0,0,78144203,0,0,2
".net, vscode-tasks",523,702388,registered,Nico,FALSE,16,0,0,78144147,1,2,12
"python, metaclass",41287,1222951,registered,Aran-Fey,TRUE,202,2,5,51856491,8,24,41
"c++, sockets, router, ipv6, netlink",1,23582725,registered,user23582725,FALSE,11,0,-2,78144039,0,0,1
"maven, pom.xml, nexus, nexus3, apache-commons-lang3",584,2101649,registered,vs777,FALSE,1049,1,0,68442951,1,2,11
"numpy, pytorch, matmul",213,16523413,registered,Yumeng Xu,FALSE,37,0,0,78024010,1,2,10
"charts, pytorch, pytorch-geometric, amd-gcn",1,22438479,registered,Mayuka sen,FALSE,50,0,0,78005689,0,0,2
"python, pytorch, lstm",197,8887055,registered,Marsolgen,FALSE,22,1,0,78143919,0,1,8
"javascript, reactjs, math, average, reduce",11,20930983,registered,PhuongHoang68,TRUE,31,2,1,78144120,0,0,2
"cors, fetch, sveltekit, 400-bad-request, sveltekit-adapter-node",1,21108591,registered,faith6,FALSE,33,1,0,78137444,0,0,1
"php, twig",738,1211684,registered,menacingly,TRUE,1449,2,2,26610897,0,2,9
"google-sheets, google-sheets-formula",1240,3918993,registered,TheGuyThatDoesn&#39;tKnowMuch,FALSE,33,0,0,78104079,2,7,18
"terraform, github-actions",7895,312444,registered,p.magalhaes,FALSE,9,0,0,78144236,3,10,21
"reactjs, next.js, clerk",31,23562959,registered,Dtaplin21,FALSE,27,1,2,78130442,0,0,1
"qt, qml",31,20385377,registered,James Sun,FALSE,34,0,1,78139717,0,0,2
"python, keras, pickle",1,23540222,registered,Caleb Wang,FALSE,9,0,-1,78144228,0,0,1
"c++, opengl, glut",47,21733311,registered,I Can Done,FALSE,78,1,-1,78126274,0,0,5
"reactjs, typescript, parquet",21,22330090,registered,kk55,FALSE,6,0,1,78144231,0,0,2
"python-3.x, pytorch, cron, nvidia-jetson-nano",329,15460398,registered,BeamString,TRUE,60,1,0,78005416,0,1,10
"python, gzip",243,6654904,registered,Anson,FALSE,12,0,0,78144199,1,2,10
"apache-iotdb, iotdb",48,22798978,registered,ElvisHTong,FALSE,8,1,0,78138688,0,0,3
"typescript, next.js, runtime-error, middleware, clerk",11,23565404,registered,Kunal Kumar,FALSE,12,1,1,78131983,0,0,1
"ansible, ansible-vault, ansible-lint",710,1166260,registered,Sam Coulter,TRUE,23,1,0,78143079,1,3,18
"python, kivy, kivymd",1,23579097,registered,TSC,FALSE,11,0,0,78144219,0,0,1
"python, uap",3,13746427,registered,Alejandro Dinamarca,FALSE,31,0,0,78144075,0,0,2
"virtual-machine, zabbix",3,10034443,registered,TommasHuang,FALSE,16,0,-3,78140963,0,0,2
"c#, xunit",3939,1760774,registered,John,FALSE,15,0,0,78144214,2,5,19
"react-table, columnsorting, react-table-v6, tablesort",57,10797022,registered,PRASANTH BATTULA,TRUE,1894,2,2,68752171,0,1,6
"firebase, google-developers-console, safetynet, google-play-integrity-api",141,16885562,registered,treble18,FALSE,651,1,2,73968296,0,0,8
"opencv, opticalflow",307,4414735,registered,Abdoon Nur,FALSE,65,1,0,74180994,0,2,10
"python, ezdxf",11,21370650,registered,DeskDoc,FALSE,98,1,0,75869747,0,0,1
"python, uap",3,13746427,registered,Alejandro Dinamarca,FALSE,31,0,0,78144075,0,0,2
"virtual-machine, zabbix",3,10034443,registered,TommasHuang,FALSE,16,0,-3,78140963,0,0,2
"c#, xunit",3939,1760774,registered,John,FALSE,15,0,0,78144214,2,5,19
"react-table, columnsorting, react-table-v6, tablesort",57,10797022,registered,PRASANTH BATTULA,TRUE,1894,2,2,68752171,0,1,6
"firebase, google-developers-console, safetynet, google-play-integrity-api",141,16885562,registered,treble18,FALSE,651,1,2,73968296,0,0,8
"opencv, opticalflow",307,4414735,registered,Abdoon Nur,FALSE,65,1,0,74180994,0,2,10
"python, ezdxf",11,21370650,registered,DeskDoc,FALSE,98,1,0,75869747,0,0,1
"c#, game-development, monogame, isometric",21,23579188,registered,Milsan,FALSE,29,0,2,78141858,0,0,2
"protocol-buffers, clang-format, protocol-buffers-3",1537,181238,registered,Alex O,FALSE,6,0,0,78144207,1,5,12
"python-3.x, rsa, paramiko",11,2074820,registered,Vikram Nimbalkar,FALSE,13,0,0,78144205,1,1,2
"javascript, reactjs, node.js, typescript, express",6047,10686620,registered,CCCC,FALSE,21,0,0,78144201,2,5,14
"reactjs, npm",6281,6357360,registered,meJustAndrew,FALSE,11,0,0,78144198,5,16,36
"windows, rust, linker-errors, visual-studio-2017-build-tools",1,19598140,registered,g4gz,FALSE,31,1,-1,78132392,0,0,2
"reactjs, forms",1,23583013,registered,Gustavo Hz,FALSE,13,0,0,78144194,0,0,1
maple,815,6794745,registered,relayman357,FALSE,11,1,0,78142961,1,4,15
"selenium-chromedriver, apple-m1, utm",1,23582961,registered,mmsood99,FALSE,20,0,0,78144187,0,0,2
"linux, makefile",287,7315492,registered,Reverent Lapwing,FALSE,34,1,0,78134232,0,2,10
"android, in-app-purchase, in-app-billing",95,2418824,registered,Jorge Moreira,TRUE,1737,3,2,29723859,0,1,9
"javascript, audio, electron, html5-audio, web-audio-api",21,23472003,registered,originofpork,FALSE,16,1,1,78144046,0,0,1
"c++, algorithm, c++11, grouping",4204,612580,registered,Jordan,FALSE,31,0,0,78144185,1,8,18
reactjs,1698,6533037,registered,O&#39;Niel,FALSE,8,1,0,78144179,1,6,22
"xml, xpath, xslt, xslkey",63,8782353,registered,BRiesenberg,FALSE,20,1,0,78143987,0,0,7
"c#, asp.net, .net, iis, cors",53,12821508,registered,Bruno Gonzalez Torres,TRUE,37,2,0,78143786,0,0,6
"microsoft-teams, azure-logic-apps, azure-managed-identity",2726,1044169,registered,user1044169,FALSE,19,1,1,78143460,1,4,14
"machine-learning, shap",3,12895844,registered,8223003,FALSE,16,0,-1,78143713,0,0,3
"sql, sql-server",1337,1234419,registered,vector8188,FALSE,47,0,-1,78144048,1,3,15
"java, spring, testing",45,23539854,registered,Powet,FALSE,17,1,0,78144152,0,0,5
"javascript, node.js, express",391,9334609,registered,Ramiro,FALSE,19,0,0,78144010,0,2,12
"algorithm, grouping",4204,612580,registered,Jordan,FALSE,24,0,-3,78144123,1,8,18
"maui, mobile-development",305,1870191,registered,Dilip,FALSE,22,1,0,78131049,0,2,13
"android, android-notifications, android-alarms",191,2896349,registered,Jacob Stinson,TRUE,2948,4,3,60043093,0,1,11
"c, struct, neural-network",76,19347667,registered,Christian Phillips,FALSE,41,0,-4,78144027,0,0,5
apache-fop,51,13546475,registered,Pooja,FALSE,11,0,0,78144171,0,0,6
"matlab, controls",1,23582786,registered,Rj Hughes,FALSE,6,0,0,78144068,0,0,1
"c++, random, c++23, boost-random",31,19556581,registered,Quentin Parsons,FALSE,50,1,2,78128572,0,0,3
"machine-learning, scikit-optimize, bayessearchcv",43,21327530,registered,Yujie Liu,TRUE,22,1,-1,78143727,1,1,5
"css, flexbox",1,20309783,registered,Sasha HG,FALSE,30,1,0,78144036,0,0,2
"javascript, function, button, addeventlistener",3,23582539,registered,Kony Nunez,TRUE,14,1,0,78144114,0,0,2
"heroku, multi-factor-authentication",1,19354291,registered,ahmad,FALSE,20,0,-2,78141614,0,0,1
"html, amazon-s3, progressive-web-apps, lighthouse",562,2260532,registered,subbu,FALSE,8178,2,5,47588009,1,2,11
"database, database-design, relational-database, entity-relationship, erd",129,2179615,registered,user2179615,FALSE,9444,2,0,16146429,1,1,7
"twitter-bootstrap, html-lists",9,1821522,registered,Lucas Bustamante,FALSE,13173,2,0,14697686,1,1,4
"gesture-recognition, spark-ar-studio",33,8042210,registered,Stevan Marjanović,FALSE,7,0,0,78144160,1,1,9
"javascript, html, css",11,22425825,registered,Squigole,FALSE,29,1,1,78143803,0,0,2
"javascript, jquery, css, user-interface, frontend",1,19911842,registered,RumeasiyanS,FALSE,277,3,0,76792852,0,0,1
spring-cloud-gateway,131,18159797,registered,smillis12,FALSE,678,1,3,71206139,0,0,6
"amazon-web-services, amazon-ec2, aws-ec2-instance-connect",1,23577439,registered,Prajakta Pawar,FALSE,22,1,-2,78140818,0,0,1
"python, pandas, matplotlib, data-analysis",158,12100655,registered,Caesar,FALSE,37,1,0,78143528,0,0,12
"jekyll, broken-pipe",21,17376050,registered,edenfrey,FALSE,6,0,0,78144154,0,0,4
"javascript, html, css",21,23357796,registered,dinhthoi nguyen,TRUE,92,1,1,78139774,0,0,3
"typescript, macos",94998,6463558,registered,Lin Du,FALSE,3623,1,2,72780545,7,30,63
google-chrome-devtools,385,13458369,registered,Penguin,FALSE,745,1,3,61781759,0,2,14
javascript,1,23582370,registered,Omer Eisar,FALSE,16,0,0,78144126,0,0,2
"php, wordpress, woocommerce, metadata, product",121,16755224,registered,carlozsan,FALSE,32,1,1,78142582,0,0,8
"keras, lstm, prediction, reinforcement-learning, dqn",1,7522862,registered,saks,FALSE,8,0,0,78144146,0,1,2
